0,Time,Internal Clock,MSG
2023-03-08,01:13:02/1/Broadcast to all machines
2023-03-08,01:13:02/2/RecFrom:process_3/QueueSize:1
2023-03-08,01:13:03/3/Internal event
2023-03-08,01:13:03/7/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:04/10/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:04/11/Sent to machine_1
2023-03-08,01:13:05/12/Broadcast to all machines
2023-03-08,01:13:06/13/Internal event
2023-03-08,01:13:06/14/Internal event
2023-03-08,01:13:07/15/Sent to machine_1
2023-03-08,01:13:07/16/Internal event
2023-03-08,01:13:08/17/Internal event
2023-03-08,01:13:08/27/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:09/28/Broadcast to all machines
2023-03-08,01:13:09/29/Sent to machine_2
2023-03-08,01:13:10/30/Internal event
2023-03-08,01:13:11/34/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:11/35/Broadcast to all machines
2023-03-08,01:13:12/36/Internal event
2023-03-08,01:13:12/37/Internal event
2023-03-08,01:13:13/38/Internal event
2023-03-08,01:13:13/39/Sent to machine_1
2023-03-08,01:13:14/40/Internal event
2023-03-08,01:13:14/47/RecFrom:process_1/QueueSize:2
2023-03-08,01:13:15/49/RecFrom:process_1/QueueSize:2
2023-03-08,01:13:15/50/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:16/51/Sent to machine_2
2023-03-08,01:13:17/52/Internal event
2023-03-08,01:13:17/58/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:18/60/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:18/61/Internal event
2023-03-08,01:13:19/62/Internal event
2023-03-08,01:13:19/63/Internal event
2023-03-08,01:13:20/64/Internal event
2023-03-08,01:13:21/69/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:21/71/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:22/72/Internal event
2023-03-08,01:13:22/76/RecFrom:process_1/QueueSize:2
2023-03-08,01:13:23/77/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:23/78/Sent to machine_2
2023-03-08,01:13:24/81/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:24/83/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:25/85/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:25/87/RecFrom:process_1/QueueSize:2
2023-03-08,01:13:26/88/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:26/89/Internal event
2023-03-08,01:13:27/90/Internal event
2023-03-08,01:13:27/91/Sent to machine_1
2023-03-08,01:13:28/92/Internal event
2023-03-08,01:13:28/101/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:29/103/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:29/105/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:30/106/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:31/107/Internal event
2023-03-08,01:13:31/108/Internal event
2023-03-08,01:13:32/113/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:32/115/RecFrom:process_1/QueueSize:2
2023-03-08,01:13:33/116/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:33/117/Internal event
2023-03-08,01:13:34/118/Internal event
2023-03-08,01:13:34/124/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:35/125/Internal event
2023-03-08,01:13:36/126/Internal event
2023-03-08,01:13:36/127/Internal event
2023-03-08,01:13:37/128/Internal event
2023-03-08,01:13:37/129/Internal event
2023-03-08,01:13:38/130/Internal event
2023-03-08,01:13:39/138/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:39/139/Internal event
2023-03-08,01:13:40/142/RecFrom:process_1/QueueSize:1
2023-03-08,01:13:40/143/Internal event
