1, 0.5
2023-03-08 01:53:45/123/RecFrom:process_3/QueueSize:64
2023-03-08 01:53:45/125/RecFrom:process_2/QueueSize:66
2023-03-08 01:53:46/126/RecFrom:process_3/QueueSize:67
2023-03-08 01:53:46/127/RecFrom:process_3/QueueSize:69
2023-03-08 01:53:47/130/RecFrom:process_2/QueueSize:69
2023-03-08 01:53:47/131/RecFrom:process_2/QueueSize:68
2023-03-08 01:53:48/132/RecFrom:process_3/QueueSize:68
2023-03-08 01:53:48/134/RecFrom:process_3/QueueSize:69
2023-03-08 01:53:49/135/RecFrom:process_2/QueueSize:69
2023-03-08 01:53:49/136/RecFrom:process_3/QueueSize:69
2023-03-08 01:53:50/138/RecFrom:process_2/QueueSize:69
2023-03-08 01:53:50/139/RecFrom:process_2/QueueSize:71
2023-03-08 01:53:51/140/RecFrom:process_2/QueueSize:71
2023-03-08 01:53:51/141/RecFrom:process_2/QueueSize:73
2023-03-08 01:53:52/142/RecFrom:process_2/QueueSize:75
2023-03-08 01:53:52/143/RecFrom:process_3/QueueSize:75
2023-03-08 01:53:53/144/RecFrom:process_3/QueueSize:75
2023-03-08 01:53:53/145/RecFrom:process_3/QueueSize:74
2023-03-08 01:53:54/147/RecFrom:process_2/QueueSize:75
2023-03-08 01:53:54/149/RecFrom:process_3/QueueSize:75
2023-03-08 01:53:55/154/RecFrom:process_3/QueueSize:77
2023-03-08 01:53:55/155/RecFrom:process_3/QueueSize:77
2023-03-08 01:53:56/157/RecFrom:process_2/QueueSize:77
2023-03-08 01:53:56/158/RecFrom:process_2/QueueSize:78
2023-03-08 01:53:57/159/RecFrom:process_2/QueueSize:78
2023-03-08 01:53:57/160/RecFrom:process_3/QueueSize:78
2023-03-08 01:53:58/161/RecFrom:process_2/QueueSize:78
2023-03-08 01:53:58/162/RecFrom:process_3/QueueSize:78
2023-03-08 01:53:59/163/RecFrom:process_3/QueueSize:78
2023-03-08 01:53:59/166/RecFrom:process_2/QueueSize:79
2023-03-08 01:54:00/167/RecFrom:process_2/QueueSize:80
2023-03-08 01:54:00/168/RecFrom:process_3/QueueSize:81
2023-03-08 01:54:01/169/RecFrom:process_2/QueueSize:81
2023-03-08 01:54:01/170/RecFrom:process_3/QueueSize:82
2023-03-08 01:54:02/171/RecFrom:process_3/QueueSize:82
2023-03-08 01:54:02/172/RecFrom:process_2/QueueSize:82
2023-03-08 01:54:03/173/RecFrom:process_2/QueueSize:84
